run,operation,started,time,status,label,Eval/log_likelihood,Eval/rmse,Eval/calibr_error,Loss/train,Loss/train_NP,meta_learner,covar_module,mean_module,n_samples_per_task,n_train_tasks,n_test_context_samples,num_iter_fit,Eval/loss,context_mask,dataset,kernel_nn_layers,lr_decay,lr_params,mean_nn_layers,random_seed,task_batch_size,weight_decay,step
1b4f946c,1D:train-meta-gpr,2020-09-17 20:40:32,0:01:47,completed,sin_gp,-0.08575459569692612,0.27653905749320984,0.1554172933101654,-1.8942362070083618,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",26,4,0.001,5000
b7e531c4,1D:train-np,2020-09-17 20:40:18,0:02:07,completed,sin_np,-0.8689298629760742,0.4132678508758545,0.17069381475448608,,-1.4983545541763306,neural_process,,,20,20,5,5000,18758.216796875,,,,,,,,,,
52612615,1D:train-meta-gpr,2020-09-17 20:38:41,0:01:48,completed,sin_gp,-0.08250028640031815,0.2768089175224304,0.15417060256004333,-1.6242880821228027,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",25,4,0.001,5000
f7e3224a,1D:train-np,2020-09-17 20:38:07,0:02:09,completed,sin_np,-0.983680248260498,0.40649208426475525,0.18200799822807312,,-1.4796390533447266,neural_process,,,20,20,5,5000,29869.1953125,,,,,,,,,,
f65279c9,1D:train-meta-gpr,2020-09-17 20:36:50,0:01:48,completed,sin_gp,-0.053223319351673126,0.2736762762069702,0.15425802767276764,-1.4695029258728027,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",24,4,0.001,5000
b24c9c76,1D:train-np,2020-09-17 20:35:53,0:02:11,completed,sin_np,-0.7914572358131409,0.4419885277748108,0.18236778676509857,,-1.4982225894927979,neural_process,,,20,20,5,5000,16494.970703125,,,,,,,,,,
b2dfb513,1D:train-meta-gpr,2020-09-17 20:35:04,0:01:42,completed,sin_gp,-0.07028193771839142,0.27553874254226685,0.15415456891059875,-1.0357528924942017,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",23,4,0.001,5000
88f64ace,1D:train-np,2020-09-17 20:33:41,0:02:08,completed,sin_np,-1.154889464378357,0.40397578477859497,0.18763285875320435,,-1.1158267259597778,neural_process,,,20,20,5,5000,40492.0625,,,,,,,,,,
5db0fba5,1D:train-meta-gpr,2020-09-17 20:33:12,0:01:48,completed,sin_gp,-0.1318647861480713,0.28649336099624634,0.15684667229652405,-1.1425310373306274,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",22,4,0.001,5000
0a64d077,1D:train-np,2020-09-17 20:31:28,0:02:08,completed,sin_np,-1.0036214590072632,0.38685980439186096,0.18815061450004578,,-1.6196132898330688,neural_process,,,20,20,5,5000,21315.5234375,,,,,,,,,,
c5e7bfbc,1D:train-meta-gpr,2020-09-17 20:31:19,0:01:50,completed,sin_gp,-0.077185720205307,0.2750106155872345,0.15494078397750854,-1.6185489892959595,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",21,4,0.001,5000
d7a37d4e,1D:train-np,2020-09-17 16:54:30,0:02:38,completed,sin_np,-1.220818281173706,0.414084792137146,0.18470384180545807,,0.4072059988975525,attentive_neural_process,,,20,20,5,5000,35955.40234375,,,,,,,,,,
10844202,1D:train-meta-gpr,2020-09-17 16:53:55,0:01:37,completed,sin_gp,0.033354997634887695,0.31745144724845886,0.15578725934028625,-1.3547300100326538,,gpr_meta_mll,NN,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
b4435de1,1D:train-np,2020-09-17 16:52:43,0:01:44,completed,sin_np,-1.3576180934906006,0.3942422866821289,0.17365622520446777,,-0.9333221912384033,attentive_conditional_neural_process,,,20,20,5,5000,54944.66796875,,,,,,,,,,
ef84ab6c,1D:train-meta-gpr,2020-09-17 16:52:06,0:01:47,completed,sin_gp,0.018793785944581032,0.26349663734436035,0.1595858782529831,-2.720172882080078,,gpr_meta_mll,NN,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
217fb9c3,1D:train-np,2020-09-17 16:51:27,0:01:14,completed,sin_np,-1.2464600801467896,0.3958876132965088,0.19506962597370148,,-2.837852954864502,conditional_neural_process,,,20,20,5,5000,37821.61328125,,,,,,,,,,
9d2fe493,1D:train-meta-gpr,2020-09-17 16:50:43,0:01:20,completed,sin_gp,-1.2445398569107056,0.9143797159194946,0.15215899050235748,3.42687726020813,,gpr_meta_mll,SE,constant,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
4c78f8b4,1D:train-np,2020-09-17 16:49:23,0:02:01,completed,sin_np,-0.9272696375846863,0.4354232847690582,0.1743984818458557,,-0.3801536560058594,neural_process,,,20,20,5,5000,28864.21484375,,,,,,,,,,
9dbf1c27,1D:train-meta-gpr,2020-09-17 16:49:09,0:01:32,completed,sin_gp,-0.13717730343341827,0.28623226284980774,0.15884031355381012,-1.8258150815963745,,gpr_meta_mll,SE,NN,20,20,5,5000,,None,sin,"32,32,32,32",0.97,0.001,"32,32,32,32",20,4,0.001,5000
